Favorite,Job Title,Job Link,Owner,Invitation to Bid,Project Value,Location,Stage,Bid Date,Start Date,Documents,Last Updated,Search Tags,Status,Email Sent,Sent Date,Attachment
True,Houghton Park Playground,https://app.constructconnect.com/project/7367677/c?sourceType=3,,,100000.0,"Long Beach, CA",GC Bidding,2026-02-19,2026-03-23,Sent to Scan,2026-01-05,,New,Yes,2026-01-12 15:28:51.243785,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
True,"Clean, Inspect, Prepare, and Line Culverts",https://app.constructconnect.com/project/7368978/c?sourceType=3,,,650000.0,"Tustin, CA",GC Bidding,2026-02-03,2026-03-05,Requesting Plans,2026-01-05,,New,Yes,2026-01-12 15:28:51.245090,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,15mva Base Power Transfomer,https://app.constructconnect.com/project/7368987/c?sourceType=3,,,1000000.0,"Glendale, CA",GC Bidding,2026-02-16,2026-04-02,Requesting Plans,2026-01-05,,New,Yes,2026-01-12 15:28:51.245608,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,RFP Engineering - Reservoirs 4-1 & 4-2 Repairs,https://app.constructconnect.com/project/7324074/c?sourceType=3,,,200000.0,"Rialto, CA",GC Bidding,2026-01-07,2026-02-05,Drawings & Specs Available,2026-01-05,,New,Yes,2026-01-12 15:28:51.246033,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
True,Citywide ADA Improvements,https://app.constructconnect.com/project/7349423/c?sourceType=3,,,670000.0,"Newport Beach, CA",GC Bidding,2026-01-08,2026-03-09,Drawings & Specs Available,2026-01-05,,New,Yes,2026-01-12 15:28:51.246477,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,"Ball Wall Projects Group 1 at Jackson, Jefferson, King, Madison, Martin, and Thorpe Fundamental, with Alternates - General Construction",https://app.constructconnect.com/project/7355274/c?sourceType=3,,,1000000.0,"Santa Ana, CA",GC Bidding,2026-01-27,2026-03-09,Drawings & Specs Available,2026-01-05,,New,Yes,2026-01-12 15:28:51.246881,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,Ayala Park Swings Project,https://app.constructconnect.com/project/7347620/c?sourceType=3,,,300000.0,"Bloomington, CA",GC Bidding,2026-01-08,2026-02-09,Specs Only,2026-01-05,,New,Yes,2026-01-12 15:28:51.247344,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,Ball Wall Projects Group 2,https://app.constructconnect.com/project/7355273/c?sourceType=3,,,500000.0,"Santa Ana, CA",GC Bidding,2026-01-27,2026-03-06,Sent to Scan,2026-01-05,,New,Yes,2026-01-12 15:28:51.247785,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,"M.L.K. Jr. Street Improvements, Main Street to Avalon Boulevard",https://app.constructconnect.com/project/7012721/c?sourceType=3,,,1000000.0,"Carson, CA",GC Bidding,2026-01-05,2026-02-04,Drawings & Specs Available,2026-01-05,,New,Yes,2026-01-12 15:28:51.248185,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
False,Pier Avenue Multi-Modal Betterments,https://app.constructconnect.com/project/7367713/c?sourceType=3,,,862144.0,"Hermosa Beach, CA",GC Bidding,2026-01-26,2026-02-25,Drawings & Specs Available,2026-01-05,,New,Yes,2026-01-12 15:28:51.248680,https://www.dropbox.com/scl/fi/316zetbljhtu473hrjac3/new_jobs_20260112_161201.xlsx?rlkey=adblgm6c8vd21wk0y4kt9o0nd&dl=0
